sentence_id,accuracy,n_models,error_rate,true_label,era,source,bias_type
1053,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1555,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1162,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1895,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1512,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1015,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1126,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1353,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1246,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1359,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1554,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1350,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1748,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1182,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1910,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2051,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1835,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1402,0.0,7,1.0,harmful,modern,Pile of Law,harmful
1787,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1458,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1789,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1018,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1785,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1411,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1263,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1161,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1378,0.0,8,1.0,harmful,modern,Pile of Law,harmful
2008,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1874,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1084,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1145,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2080,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1063,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1163,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1316,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1268,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1142,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1233,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1582,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1807,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1407,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1968,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1863,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1267,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1066,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1674,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1690,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1453,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1519,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1831,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1409,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1654,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1098,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1278,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1185,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1660,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2060,0.0,7,1.0,antibias,modern,Pile of Law,antibias
1758,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1628,0.0,8,1.0,harmless,modern,Pile of Law,harmless
1927,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1536,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1633,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1662,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2110,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1900,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1825,0.0,7,1.0,harmful,modern,Pile of Law,harmful
1839,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1779,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1055,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1692,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1451,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1526,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1775,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1928,0.0,7,1.0,antibias,modern,Pile of Law,antibias
1644,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1255,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2184,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1421,0.0,8,1.0,harmless,modern,Pile of Law,harmless
1541,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1898,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1759,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1092,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1247,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1219,0.0,8,1.0,antibias,modern,Pile of Law,antibias
